"";"faceId";"faceAttributes.smile";"faceAttributes.gender";"faceAttributes.age";"faceAttributes.facialHair.moustache";"faceAttributes.facialHair.beard";"faceAttributes.facialHair.sideburns"
"1";"31aadda6-f646-462c-b097-1a4ab7cb2914";"0.998";"male";"48.1";"0";"0";"0"
"2";"90afe923-6a3a-4a29-b934-a92f09094eb3";"0.052";"female";"35.7";"0";"0";"0"
